time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-03-17T21:27:59.200Z,32.977,-115.57,10.6,1.8,Ml,12,68.4,0.12576414,0.34,ci,ci15477209,2014-03-17T21:30:59.712Z,"3km W of Brawley, California",earthquake
2014-03-17T21:22:24.000Z,63.0572,-151.4646,0,1.9,ml,,,,0.66,ak,ak11191565,2014-03-17T21:35:24.640Z,"107km NW of Talkeetna, Alaska",earthquake
2014-03-17T21:20:46.600Z,38.7723,-122.7435,1.9,1.4,Md,,82.8,0.00898315,0.06,nc,nc72187101,2014-03-17T21:22:28.031Z,"1km ESE of The Geysers, California",earthquake
2014-03-17T20:45:36.500Z,38.7567,-122.7298,3,1.2,Md,,144,0.00898315,0.03,nc,nc72187091,2014-03-17T21:24:04.721Z,"3km SE of The Geysers, California",earthquake
2014-03-17T20:34:56.500Z,35.0382,-118.323,1.8,1.5,Ml,11,75.6,0.05389892,0.19,ci,ci15477193,2014-03-17T20:37:54.467Z,"13km W of Mojave, California",earthquake
2014-03-17T20:32:21.000Z,37.6353,-118.9167,7.6,0.2,Md,,208.8,0.01796631,0.03,nc,nc72187086,2014-03-17T21:12:47.422Z,"5km ESE of Mammoth Lakes, California",earthquake
2014-03-17T20:26:00.900Z,38.835,-122.79,1.3,0.8,Md,,68.4,0.00898315,0.03,nc,nc72187066,2014-03-17T21:16:03.810Z,"5km WNW of Cobb, California",earthquake
2014-03-17T20:22:53.500Z,38.8258,-122.7817,2.4,0.8,Md,,68.4,0.00898315,0.03,nc,nc72187056,2014-03-17T21:05:07.021Z,"5km W of Cobb, California",earthquake
2014-03-17T20:07:13.100Z,38.8355,-122.8792,3.2,0.8,Md,,64.8,0,0.02,nc,nc72187041,2014-03-17T20:48:05.113Z,"12km ENE of Cloverdale, California",earthquake
2014-03-17T20:02:26.900Z,38.806,-122.821,3.4,0.7,Md,,129.6,0.00898315,0.03,nc,nc72187031,2014-03-17T20:48:05.110Z,"6km WNW of The Geysers, California",earthquake
2014-03-17T19:46:45.000Z,37.6205,-118.8452,6.8,1.6,Md,,90,0.01796631,0.04,nc,nc72187021,2014-03-17T20:26:02.706Z,"11km ESE of Mammoth Lakes, California",earthquake
